name,teams,gender,height,race,weight,eyecolor,haircolor,fullname,alteregos,aliases,placeofbirth,firstappearance,creator,occupation,base,relatives,intelligence,strength,speed,durability,power,combat,superPowers
2B,,Female,168,Android,,Blue,Silver,,"
",,,NieR: Automata,,,,,"<div class=""stat-value"">102</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">65</div>","<div class=""stat-value"">239</div>","<div class=""stat-value"">100</div>","Absorption,Accelerated Healing,Agility,Duplication,Electrokinesis,Energy Beams,Energy Blasts,Flight,Force Fields,Gravity Control,Illusions,Immortality,Invulnerability,Mind Control,Power Augmentation,Reflexes,Resurrection,Seismic Power,Stamina,Stealth,Super Speed,Super Strength,Telekinesis,Teleportation,Time Manipulation,Vitakinesis,Weapon-based Powers,Weapons Master"
A2,,Female,168,Android,,Blue,Silver,,"
",Number Two,,NieR: Automata,,,,,"<div class=""stat-value"">102</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">282</div>","<div class=""stat-value"">100</div>","Absorption,Accelerated Healing,Agility,Duplication,Electrokinesis,Energy Beams,Energy Blasts,Flight,Force Fields,Gravity Control,Illusions,Immortality,Invisibility,Invulnerability,Latent Abilities,Mind Control,Power Augmentation,Reflexes,Regeneration,Seismic Power,Stamina,Stealth,Super Speed,Super Strength,Telekinesis,Teleportation,Time Manipulation,Vitakinesis,Weapon-based Powers,Weapons Master"
A.M.A.Z.O. (CW),,,0,,,,,,"
",,,,,,,,,,,,,,"Afterimage Creation,Cold Resistance,Cryokinesis,Elasticity,Electrokinesis,Element Control,Energy Absorption,Enhanced Hearing,Flight,Heat Resistance,Intangibility,Mind Control Resistance,Portal Creation,Radiation Immunity,Shapeshifting,Super Breath,Telepathy Resistance,Time Travel,Toxin and Disease Resistance,Vision - Heat,Vision - Telescopic,Vision - X-Ray,Weapons Master,Wind Control"
A.M.A.Z.O (CW),,,0,,,,,,"
",,,,,,,,,,,,,,"Absorption,Cryokinesis,Durability,Elasticity,Electrokinesis,Element Control,Energy Absorption,Flight,Intangibility,Invulnerability,Phasing,Reflexes,Speed Force,Super Breath,Super Speed,Super Strength,Vision - Heat"
Batgirl V,,Female,0,,,,,Charlotte Gage-Radcliffe,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Batgirl IV,,Female,165,,52,Green,Black,Cassandra Cain,"
","Kasumi, various mundane persona, ",League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,,,Gotham City; Bl�dhaven; Tibet; New York City,"David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",,,,,,,"Agility,Peak Human Condition,Stealth,Toxin and Disease Resistance,Weapons Master"
Batman (LEGO),,Male,3,,1,White,No Hair,Bruce Wayne,"
",,Gotham city,Lego Batman Movie,,Superhero,Batcave,"Batgirl (Love interest), Alfred Pennyworth (Butler), Robin (Former mate)",,,,,,,"Agility,Camouflage,Cold Resistance,Dimensional Awareness,Durability,Fire Control,Fire Resistance,Flight,Gliding,Heat Resistance,Intelligence,Marksmanship,Peak Human Condition,Reflexes,Stamina,Stealth,Super Strength,Vision - Microscopic,Vision - Night,Vision - Telescopic,Weapon-based Powers,Weapons Master"
Dragonborn,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">111</div>","<div class=""stat-value"">454</div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">253</div>","<div class=""stat-value"">100</div>","Absorption,Agility,Animal Control,Durability,Element Control,Empathy,Flight,Force Fields,Illusions,Intangibility,Invisibility,Light Control,Magic,Matter Manipulation,Mind Control,Molecular Manipulation,Power Augmentation,Reality Warping,Reflexes,Stamina,Summoning,Super Speed,Super Strength,Telekinesis,Telepathy,Time Manipulation,Vitakinesis,Weather Control"
Dyna-Mite (BTBATB),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Dragon Warrior,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ebony Maw (MCU),,Male,178,,79,Blue,No Hair,,"
",,,,,,,,,,,,,,"Element Control,Flight,Force Fields,Gravity Control,Intelligence,Levitation,Longevity,Magic,Marksmanship,Super Speed,Telekinesis,Teleportation"
